Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           Fiducial_mark           190mm         230mm         190mm         230mm         190mm         230mm  T          0.00                
           Fiducial_mark           190mm          15mm         190mm          15mm         190mm          15mm  T          0.00                
           Fiducial_mark            -5mm          15mm          -5mm          15mm          -5mm          15mm  T          0.00                
J3         SOCKET_2x26_2.54MM_SMD      107.44mm    193.5799mm      107.44mm    193.5799mm      104.84mm    161.8299mm  B         90.00 EVA01 - RIGHT  
C1         0603_[1608]        168.0004mm    209.9997mm    168.0004mm    209.9996mm    168.0004mm    209.2997mm  B         90.00 100nF          
U1         SOIC8                 171.3mm       212.7mm       171.3mm       212.7mm     169.395mm      215.15mm  B        270.00 24C128         
U2         PQFN50P300X200X75_HS-9L       164.5mm       224.5mm       164.5mm       224.5mm     165.375mm      225.25mm  B        270.00 LT3591EDDB     
R1         0603_[1608]           160.5mm    224.1998mm       160.5mm       224.2mm       160.5mm    224.8998mm  B        270.00 NP             
R14        0603_[1608]           166.9mm       217.5mm    166.9002mm       217.5mm       167.6mm       217.5mm  B        180.00 0R             
R15        0603_[1608]        169.9002mm       217.5mm       169.9mm       217.5mm    169.2002mm       217.5mm  B        360.00 NP             
R16        0603_[1608]        172.5999mm       218.8mm       172.6mm       218.8mm    173.2998mm       218.8mm  B        180.00 NP             
R17        0603_[1608]        166.8998mm       218.8mm       166.9mm       218.8mm    167.5999mm       218.8mm  B        180.00 NP             
R18        0603_[1608]           169.9mm       218.8mm    169.8998mm       218.8mm       169.2mm       218.8mm  B        360.00 0R             
R19        0603_[1608]        172.5999mm       217.5mm       172.6mm       217.5mm    173.2998mm       217.5mm  B        180.00 0R             
R20        0603_[1608]        161.5999mm       232.5mm       161.6mm       232.5mm    162.2998mm       232.5mm  B        180.00 1K             
C22        0603_[1608]        148.7502mm         145mm      148.75mm         145mm    148.0502mm         145mm  B        360.00 100nF          
J5         fcc-zif_10pin_0.5mm       143.8mm       141.8mm       143.8mm       141.8mm      144.79mm      139.55mm  B         90.00 Capacitive Touch
R29        0603_[1608]        151.7499mm       143.5mm      151.75mm       143.5mm    152.4498mm       143.5mm  B        180.00 4K7            
R30        0603_[1608]        151.7499mm         142mm      151.75mm         142mm    152.4498mm         142mm  B        180.00 4K7            
R49        0603_[1608]        148.7502mm         142mm      148.75mm         142mm    148.0502mm         142mm  B        360.00 0R             
R50        0603_[1608]        148.7502mm       143.5mm      148.75mm       143.5mm    148.0502mm       143.5mm  B        360.00 0R             
R52        0603_[1608]        148.7502mm       140.5mm      148.75mm       140.5mm    148.0502mm       140.5mm  B        360.00 0R             
R57        0603_[1608]        148.7502mm         139mm      148.75mm         139mm    148.0502mm         139mm  B        360.00 0R             
R64        0603_[1608]         31.5002mm       34.75mm        31.5mm       34.75mm     30.8002mm       34.75mm  B        360.00 1K             
R63        0603_[1608]          106.25mm     53.9998mm      106.25mm          54mm      106.25mm     54.6998mm  B        270.00 0R             
R62        0603_[1608]          103.25mm     53.9998mm      103.25mm          54mm      103.25mm     54.6998mm  B        270.00 0R             
R61        0603_[1608]          100.25mm     53.9998mm      100.25mm          54mm      100.25mm     54.6998mm  B        270.00 NP             
R60        0603_[1608]          104.75mm     53.9998mm      104.75mm          54mm      104.75mm     54.6998mm  B        270.00 NP             
R59        0603_[1608]          101.75mm     53.9998mm      101.75mm          54mm      101.75mm     54.6998mm  B        270.00 NP             
R58        0603_[1608]           98.75mm     53.9998mm       98.75mm          54mm       98.75mm     54.6998mm  B        270.00 0R             
R57        0603_[1608]           157.5mm     70.0002mm       157.5mm          70mm       157.5mm     69.3002mm  B         90.00 0R             
R56        0603_[1608]           154.5mm     70.0002mm       154.5mm          70mm       154.5mm     69.3002mm  B         90.00 0R             
R55        0603_[1608]             148mm     70.0002mm         148mm          70mm         148mm     69.3002mm  B         90.00 0R             
R47        0603_[1608]           146.5mm     70.0002mm       146.5mm          70mm       146.5mm     69.3002mm  B         90.00 0R             
R45        0603_[1608]             145mm     70.0002mm         145mm          70mm         145mm     69.3002mm  B         90.00 0R             
SW1        TACTILE_SWITCH_6x6MM_SMD        49.5mm         7.5mm        49.5mm         7.5mm       47.25mm          12mm  B        180.00 RESET          
R44        0603_[1608]           163.5mm     70.0002mm       163.5mm          70mm       163.5mm     69.3002mm  B         90.00 0R             
C22        0603_[1608]             168mm     70.0002mm         168mm          70mm         168mm     69.3002mm  B         90.00 100nF          
U2         SOIC18                 96.4mm        94.7mm        96.4mm        94.7mm      101.48mm       90.15mm  B         90.00 MCP2515-I/SO   
R43        0603_[1608]            57.5mm     19.5998mm        57.5mm        19.6mm        57.5mm     20.2998mm  B        270.00 NP (0R)        
C1         0603_[1608]        116.9002mm        30.8mm       116.9mm        30.8mm    116.2002mm        30.8mm  B        360.00 100nF          
C2         0603_[1608]           103.7mm     96.4998mm       103.7mm        96.5mm       103.7mm     97.1998mm  B        270.00 100nF          
C3         0603_[1608]           103.7mm     99.0998mm       103.7mm        99.1mm       103.7mm     99.7998mm  B        270.00 100nF          
C4         0603_[1608]        124.3002mm         8.9mm       124.3mm         8.9mm    123.6002mm         8.9mm  B        360.00 100nF          
C5         0603_[1608]         87.4998mm        95.4mm        87.5mm        95.4mm     88.1998mm        95.4mm  B        180.00 15pF           
C6         0603_[1608]            84.8mm     91.6998mm        84.8mm        91.7mm        84.8mm     92.3998mm  B        270.00 15pF           
C7         0603_[1608]            94.5mm     20.1002mm        94.5mm        20.1mm        94.5mm     19.4002mm  B         90.00 100nF          
C8         0603_[1608]             105mm      7.9002mm         105mm         7.9mm         105mm      7.2002mm  B         90.00 100nF          
C9         0603_[1608]          67.029mm     30.5752mm      67.029mm      30.575mm      67.029mm     29.8752mm  B         90.00 100nF          
C10        0603_[1608]            68.5mm     30.4998mm        68.5mm        30.5mm        68.5mm     31.1998mm  B        270.00 100nF          
C11        0603_[1608]            70.9mm     30.5998mm        70.9mm        30.6mm        70.9mm     31.2998mm  B        270.00 100nF          
C12        0603_[1608]            73.4mm     30.5998mm        73.4mm        30.6mm        73.4mm     31.2998mm  B        270.00 100nF          
C13        0603_[1608]            65.4mm     23.2998mm        65.4mm        23.3mm        65.4mm     23.9998mm  B        270.00 100nF          
C14        0603_[1608]            99.7mm        44.3mm        99.7mm     44.2998mm        99.7mm        43.6mm  B         90.00 100nF          
C15        0603_[1608]         34.2502mm       30.25mm       34.25mm       30.25mm     33.5502mm       30.25mm  B        360.00 100nF          
C16        0603_[1608]         34.3002mm        28.8mm        34.3mm        28.8mm     33.6002mm        28.8mm  B        360.00 1uF            
C17        1210_[3225]            31.1mm        22.6mm        31.1mm        22.6mm        31.1mm       21.25mm  B         90.00 2.2uF          
C18        0603_[1608]            33.4mm     22.9002mm        33.4mm        22.9mm        33.4mm     22.2002mm  B         90.00 100nF          
C19        0603_[1608]         31.5002mm       30.25mm        31.5mm       30.25mm     30.8002mm       30.25mm  B        360.00 100nF          
C20        0603_[1608]            48.8mm     14.7998mm        48.8mm        14.8mm        48.8mm     15.4998mm  B        270.00 100nF          
