Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

2          Develer_logo_15x6mm   -268.2008mm   -163.6408mm         9.7mm        26.9mm   -268.2008mm   -163.6408mm  T        360.00                
C25        0603_[1608]            78.9mm    101.7998mm        78.9mm       101.8mm        78.9mm    102.4998mm  B        270.00 100nF          
C33        0603_[1608]          14.375mm    109.7602mm      14.375mm      109.76mm      14.375mm    109.0602mm  B         90.00 100nF          
D7         SOD-123                60.1mm        99.2mm        60.1mm        99.2mm        60.1mm        97.5mm  T        270.00 MBR120VLSFT1G  
J9         usb_typeB_mini_smd        55.7mm         115mm        55.7mm         115mm     57.2999mm      112.25mm  T        180.00 Mini USB Type B
J11        micro_sd_holder_pp          69mm       111.5mm          69mm       111.5mm     70.9149mm     114.725mm  B        180.00 Micro SD holder
L5         0805_[2012]            31.2mm        61.8mm        31.2mm        61.8mm        30.4mm        61.8mm  B        360.00 220 ohm @ 100MHz
L7         0805_[2012]            78.6mm       104.3mm        78.6mm       104.3mm        79.4mm       104.3mm  B        180.00 220 ohm @ 100MHz
R33        0603_[1608]            62.8mm    101.4998mm        62.8mm       101.5mm        62.8mm    102.1998mm  T        270.00 22R            
R35        0603_[1608]            51.6mm    102.9002mm        51.6mm       102.9mm        51.6mm    102.2002mm  T         90.00 NP (10K)       
R36        0603_[1608]            52.9mm    102.9002mm        52.9mm       102.9mm        52.9mm    102.2002mm  T         90.00 NP (1K)        
R37        0603_[1608]            46.8mm    100.3002mm        46.8mm       100.3mm        46.8mm     99.6002mm  T         90.00 22R            
R38        0603_[1608]            48.1mm    100.3002mm        48.1mm       100.3mm        48.1mm     99.6002mm  T         90.00 22R            
R39        0603_[1608]          71.675mm       101.5mm      71.675mm    101.5002mm      71.675mm       102.2mm  B        270.00 10K            
R40        0603_[1608]              66mm       101.5mm          66mm    101.5002mm          66mm       102.2mm  B        270.00 68K            
R41        0603_[1608]          67.875mm    101.5002mm      67.875mm    101.5003mm      67.875mm    102.2002mm  B        270.00 68K            
R42        0603_[1608]          73.575mm       101.5mm      73.575mm    101.5002mm      73.575mm       102.2mm  B        270.00 68K            
R43        0603_[1608]          75.375mm    101.5002mm      75.375mm    101.5003mm      75.375mm    102.2002mm  B        270.00 68K            
R44        0603_[1608]              66mm     98.9003mm          66mm     98.9002mm          66mm     98.2003mm  B         90.00 22R            
R45        0603_[1608]          67.875mm     98.9005mm      67.875mm     98.9003mm      67.875mm     98.2005mm  B         90.00 22R            
R46        0603_[1608]            69.3mm     98.9003mm        69.3mm     98.9002mm        69.3mm     98.2003mm  B         90.00 22R            
R47        0603_[1608]          71.675mm     98.9003mm      71.675mm     98.9002mm      71.675mm     98.2003mm  B         90.00 22R            
R48        0603_[1608]          73.575mm     98.9003mm      73.575mm     98.9002mm      73.575mm     98.2003mm  B         90.00 22R            
R55        0603_[1608]          17.575mm    115.2598mm      17.575mm      115.26mm      17.575mm    115.9598mm  B        270.00 470R           
R78        0603_[1608]         60.2002mm        35.4mm        60.2mm        35.4mm     59.5002mm        35.4mm  B        360.00 10K            
C34        0603_[1608]          15.675mm    109.7602mm      15.675mm      109.76mm      15.675mm    109.0602mm  B         90.00 100nF          
R50        0603_[1608]            40.6mm     97.3002mm        40.6mm        97.3mm        40.6mm     96.6002mm  B         90.00 10K            
R53        0603_[1608]            44.4mm     97.3002mm        44.4mm        97.3mm        44.4mm     96.6002mm  B         90.00 10K            
C7         1206_[3216]            18.8mm        13.1mm        18.8mm        13.1mm        18.8mm       14.45mm  T        270.00 10uF           
C8         1206_[3216]            18.8mm        13.1mm        18.8mm        13.1mm        18.8mm       14.45mm  B        270.00 1uF            
C9         0603_[1608]            21.7mm     19.6498mm        21.7mm       19.65mm        21.7mm     20.3498mm  B        270.00 10nF           
D6         SOD-123                35.6mm        22.1mm        35.6mm        22.1mm        35.6mm        20.4mm  B        270.00 MBR120VLSFT1G  
DZ1        DO214AA_12             26.9mm        13.3mm        26.9mm        13.3mm     24.5505mm        13.3mm  T        360.00 B340A          
L4         WE-LHMI_5020             26mm        19.5mm          26mm        19.5mm          26mm       17.45mm  T         90.00 10uH  WE 74437334100
R13        0603_[1608]         14.5002mm        22.7mm        14.5mm        22.7mm     13.8002mm        22.7mm  T        360.00 68K            
U2         SOIC8_PAD              19.1mm       19.95mm        19.1mm       19.95mm      21.005mm       22.75mm  T        270.00 LM22670MRE-5.0/NOPB
C5         [7343]_CAP_TAN         22.7mm        23.8mm        22.7mm        23.8mm        25.9mm        23.8mm  B        180.00 100uF          
C11        0603_[1608]            32.9mm     21.8002mm        32.9mm        21.8mm        32.9mm     21.1002mm  T         90.00 100nF          
C10        1206_[3216]            31.1mm          21mm        31.1mm          21mm        31.1mm       22.35mm  T        270.00 10uF           
C73        0603_[1608]            51.6mm     62.4998mm        51.6mm        62.5mm        51.6mm     63.1998mm  B        270.00 100nF          
C74        0603_[1608]         49.3002mm        50.6mm        49.3mm        50.6mm     48.6002mm        50.6mm  B        360.00 100nF          
L12        0805_[2012]            49.1mm        61.8mm        49.1mm        61.8mm        48.3mm        61.8mm  B        360.00 220 ohm @ 100MHz
U28        SOT-223                49.3mm        56.1mm        49.3mm        56.1mm          47mm          59mm  B        270.00 LM1117-18      
D17        0603_[1608]_LED       73.75mm    116.9998mm       73.75mm         117mm       73.75mm    117.6998mm  T        270.00 +1.8V          
R150       0603_[1608]         78.5998mm       105.9mm        78.6mm       105.9mm     79.2998mm       105.9mm  B        180.00 56R            
R1         0603_[1608]            70.9mm     48.2002mm        70.9mm        48.2mm        70.9mm     47.5002mm  B         90.00 NP             
R2         0603_[1608]            69.1mm     47.8002mm        69.1mm        47.8mm        69.1mm     47.1002mm  B         90.00 NP             
R3         0603_[1608]            67.4mm     48.6002mm        67.4mm        48.6mm        67.4mm     47.9002mm  B         90.00 NP             
R4         0603_[1608]            65.8mm     47.4002mm        65.8mm        47.4mm        65.8mm     46.7002mm  B         90.00 NP             
R5         0603_[1608]            64.1mm     46.5002mm        64.1mm        46.5mm        64.1mm     45.8002mm  B         90.00 NP             
R6         0603_[1608]         60.2002mm        32.8mm        60.2mm        32.8mm     59.5001mm        32.8mm  B        360.00 NP             
R7         0603_[1608]            61.4mm     42.1998mm        61.4mm        42.2mm        61.4mm     42.8998mm  B        270.00 NP             
C47        0603_[1608]         16.3002mm        36.4mm        16.3mm        36.4mm     15.6002mm        36.4mm  B        360.00 100nF          
C48        0603_[1608]         32.9002mm        13.4mm        32.9mm        13.4mm     32.2002mm        13.4mm  B        360.00 100nF          
SW1        TACTILE_SWITCH_6x6MM_SMD          69mm       106.8mm          69mm       106.8mm        64.5mm      109.05mm  T         90.00 RESET          
C49        1206_[3216]            53.5mm        63.2mm        53.5mm        63.2mm        53.5mm       61.85mm  B         90.00 10uF           
C50        1206_[3216]            54.3mm        56.1mm        54.3mm        56.1mm        54.3mm       54.75mm  B         90.00 10uF           
J1         HEADER_2x26_2.54MM_THD     41.9798mm     92.0599mm     41.9798mm     92.0599mm     10.2298mm     90.7899mm  T        360.00 TOP            
J7         HEADER_2x26_2.54MM_THD      6.4399mm     51.4401mm      6.4399mm     51.4401mm      5.1699mm     83.1901mm  T        270.00 LEFT           
J16        HEADER_2x26_2.54MM_THD     77.5599mm     51.4401mm     77.5599mm     51.4401mm     76.2899mm     83.1901mm  T        270.00 RIGHT          
D1         Diode_bridge_smd        13.2mm        12.9mm        13.2mm        12.9mm        14.4mm       10.05mm  B        360.00 Bridge Diode   
J6         BATTERY_HOLDER_16MM_THD     41.9798mm           9mm     41.9798mm           9mm     33.5298mm           9mm  T        180.00 Battery Holder 

